0.01	-0.987912
0.03	-0.942217
0.05	-0.903935
0.07	-0.867335
0.09	-0.822527
0.11	-0.790751
0.13	-0.743553
0.15	-0.707291
0.17	-0.661651
0.19	-0.631606
0.21	-0.58533
0.23	-0.534927
0.25	-0.507503
0.27	-0.458118
0.29	-0.426296
0.31	-0.392517
0.33	-0.349997
0.35	-0.309704
0.37	-0.274563
0.39	-0.229868
0.41	-0.18816
0.43	-0.157605
0.45	-0.108563
0.47	-0.0728902
0.49	-0.0221109
0.51	-0.00166517
0.53	0.0489346
0.55	0.0844221
0.57	0.121849
0.59	0.166889
0.61	0.206772
0.63	0.248091
0.65	0.292321
0.67	0.336341
0.69	0.361432
0.71	0.407275
0.73	0.447724
0.75	0.48885
0.77	0.536461
0.79	0.564008
0.81	0.603801
0.83	0.647179
0.85	0.684563
0.87	0.724534
0.89	0.770373
0.91	0.814786
0.93	0.851447
0.95	0.890176
0.97	0.93722
0.99	0.922253
