0.01	-0.895057
0.03	-0.76479
0.05	-0.663028
0.07	-0.553953
0.09	-0.480444
0.11	-0.409038
0.13	-0.347744
0.15	-0.309788
0.17	-0.262967
0.19	-0.223607
0.21	-0.186136
0.23	-0.168363
0.25	-0.133133
0.27	-0.127696
0.29	-0.105038
0.31	-0.0795538
0.33	-0.0719558
0.35	-0.0521272
0.37	-0.0549389
0.39	-0.0358782
0.41	-0.0322534
0.43	-0.0265575
0.45	-0.0168842
0.47	-0.0131114
0.49	-0.00926585
0.51	-0.000566442
0.53	-0.00429446
0.55	0.0172293
0.57	0.0265531
0.59	0.0330264
0.61	0.0331975
0.63	0.0548051
0.65	0.0631171
0.67	0.063836
0.69	0.0874376
0.71	0.102161
0.73	0.121092
0.75	0.144769
0.77	0.168501
0.79	0.199706
0.81	0.220495
0.83	0.257517
0.85	0.300357
0.87	0.354703
0.89	0.407257
0.91	0.476104
0.93	0.564437
0.95	0.651998
0.97	0.769923
0.99	0.817686
