0.01	-0.985227
0.03	-0.943488
0.05	-0.903859
0.07	-0.86165
0.09	-0.826361
0.11	-0.779549
0.13	-0.741352
0.15	-0.701297
0.17	-0.66194
0.19	-0.613494
0.21	-0.579747
0.23	-0.534664
0.25	-0.494193
0.27	-0.46029
0.29	-0.423451
0.31	-0.366037
0.33	-0.353162
0.35	-0.302115
0.37	-0.268088
0.39	-0.233011
0.41	-0.187139
0.43	-0.142335
0.45	-0.104588
0.47	-0.0741201
0.49	-0.0259219
0.51	0.00810429
0.53	0.0493111
0.55	0.0862226
0.57	0.12073
0.59	0.154839
0.61	0.2062
0.63	0.237986
0.65	0.275571
0.67	0.31189
0.69	0.362544
0.71	0.400369
0.73	0.443988
0.75	0.48094
0.77	0.522083
0.79	0.575827
0.81	0.597305
0.83	0.646028
0.85	0.6846
0.87	0.725253
0.89	0.764827
0.91	0.806625
0.93	0.859874
0.95	0.890065
0.97	0.943504
0.99	0.909437
